fecha,ventasUnidades,visitasWeb,impresionesAds,descuentoPorc,diaSemana,esFinSemana,esCampania,impresionesContratadas
2022-06-15,166,16,51,10,2,0,0,58
2022-06-16,165,15,47,10,3,0,0,57
2022-06-17,160,14,45,10,4,0,0,54
2022-06-18,184,17,53,10,5,1,0,62
2022-06-19,198,21,66,10,6,1,0,78
2022-06-20,163,15,46,10,0,0,0,53
2022-06-21,160,14,47,10,1,0,0,56
2022-06-22,164,16,48,10,2,0,0,56
2022-06-23,150,11,36,10,3,0,0,40
2022-06-24,164,16,48,10,4,0,0,54
2022-06-25,177,15,48,10,5,1,0,57
2022-06-26,174,15,49,10,6,1,0,61
2022-06-27,159,15,44,10,0,0,0,52
2022-06-28,168,18,59,10,1,0,0,69
2022-06-29,153,13,38,10,2,0,0,45
2022-06-30,168,17,51,10,3,0,0,63
2022-07-01,160,15,47,10,4,0,0,56
2022-07-02,167,14,41,10,5,1,0,47
2022-07-03,187,19,61,10,6,1,0,74
2022-07-04,153,13,41,10,0,0,0,49
2022-07-05,141,12,32,5,1,0,0,41
2022-07-06,154,13,37,10,2,0,0,44
2022-07-07,153,13,39,10,3,0,0,43
2022-07-08,164,16,50,10,4,0,0,56
2022-07-09,176,15,44,10,5,1,0,55
2022-07-10,196,20,61,10,6,1,0,75
2022-07-11,165,15,48,10,0,0,0,56
2022-07-12,155,13,38,10,1,0,0,44
2022-07-13,156,13,41,10,2,0,0,51
2022-07-14,154,15,44,5,3,0,0,50
2022-07-15,159,11,36,15,4,0,0,41
2022-07-16,150,12,40,5,5,1,0,48
2022-07-17,168,15,44,10,6,1,0,51
2022-07-18,158,16,45,10,0,0,0,53
2022-07-19,153,15,43,10,1,0,0,50
2022-07-20,145,15,48,5,2,0,0,57
2022-07-21,153,14,42,10,3,0,0,52
2022-07-22,139,10,33,10,4,0,0,39
2022-07-23,172,16,47,10,5,1,0,57
2022-07-24,163,13,38,10,6,1,0,41
2022-07-25,161,16,49,10,0,0,0,58
2022-07-26,157,15,49,10,1,0,0,56
2022-07-27,152,15,46,10,2,0,0,52
2022-07-28,153,16,48,10,3,0,0,55
2022-07-29,153,15,47,10,4,0,0,55
2022-07-30,173,17,53,10,5,1,0,64
2022-07-31,173,18,57,10,6,1,0,64
2022-08-01,145,14,43,10,0,0,0,51
2022-08-02,139,12,36,10,1,0,0,41
2022-08-03,155,16,50,10,2,0,0,58
2022-08-04,164,18,51,10,3,0,0,62
2022-08-05,161,17,53,10,4,0,0,63
2022-08-06,171,16,52,10,5,1,0,64
2022-08-07,174,18,57,10,6,1,0,67
2022-08-08,145,14,41,10,0,0,0,47
2022-08-09,156,16,47,10,1,0,0,55
2022-08-10,156,14,46,15,2,0,0,55
2022-08-11,152,15,45,10,3,0,0,53
2022-08-12,163,19,58,10,4,0,0,66
2022-08-13,171,18,56,10,5,1,0,66
2022-08-14,179,20,61,10,6,1,0,72
2022-08-15,140,13,40,10,0,0,0,52
2022-08-16,143,14,46,10,1,0,0,58
2022-08-17,145,15,45,10,2,0,0,51
2022-08-18,149,16,53,10,3,0,0,62
2022-08-19,149,15,47,10,4,0,0,52
2022-08-20,173,19,59,10,5,1,0,68
2022-08-21,165,16,51,10,6,1,0,61
2022-08-22,160,18,58,10,0,0,0,71
2022-08-23,159,17,55,10,1,0,0,63
2022-08-24,140,13,41,10,2,0,0,47
2022-08-25,153,16,48,10,3,0,0,52
2022-08-26,144,14,47,10,4,0,0,55
2022-08-27,175,19,59,10,5,1,0,67
2022-08-28,165,16,48,10,6,1,0,55
2022-08-29,149,16,51,10,0,0,0,58
2022-08-30,138,16,51,5,1,0,0,60
2022-08-31,123,9,28,10,2,0,0,29
2022-09-01,131,11,34,10,3,0,0,37
2022-09-02,147,15,48,10,4,0,0,61
2022-09-03,168,17,56,10,5,1,0,63
2022-09-04,177,19,59,10,6,1,0,67
2022-09-05,151,15,44,10,0,0,0,55
2022-09-06,144,12,36,10,1,0,0,48
2022-09-07,155,16,51,10,2,0,0,58
2022-09-08,145,13,40,10,3,0,0,46
2022-09-09,152,15,45,10,4,0,0,54
2022-09-10,171,16,51,10,5,1,0,63
2022-09-11,179,18,57,10,6,1,0,65
2022-09-12,146,12,37,10,0,0,0,43
2022-09-13,150,13,41,10,1,0,0,50
2022-09-14,145,11,33,10,2,0,0,40
2022-09-15,172,19,58,10,3,0,0,67
2022-09-16,151,13,40,10,4,0,0,47
2022-09-17,171,15,44,10,5,1,0,49
2022-09-18,173,15,47,10,6,1,0,55
2022-09-19,158,14,43,10,0,0,0,50
2022-09-20,152,14,42,5,1,0,0,50
2022-09-21,167,16,50,10,2,0,0,58
2022-09-22,163,15,47,10,3,0,0,56
2022-09-23,172,16,48,10,4,0,0,58
2022-09-24,188,16,48,10,5,1,0,57
2022-09-25,188,17,51,10,6,1,0,61
2022-09-26,178,18,58,10,0,0,0,68
2022-09-27,169,15,43,10,1,0,0,51
2022-09-28,171,16,49,10,2,0,0,56
2022-09-29,153,11,36,10,3,0,0,43
2022-09-30,168,16,47,10,4,0,0,55
2022-10-01,187,18,54,10,5,1,0,68
2022-10-02,192,20,60,10,6,1,0,74
2022-10-03,141,10,27,10,0,0,0,33
2022-10-04,157,15,49,10,1,0,0,56
2022-10-05,155,15,46,10,2,0,0,52
2022-10-06,148,15,44,5,3,0,0,54
2022-10-07,157,14,42,10,4,0,0,50
2022-10-08,184,18,56,10,5,1,0,67
2022-10-09,177,19,58,5,6,1,0,65
2022-10-10,151,15,44,5,0,0,0,54
2022-10-11,160,15,47,10,1,0,0,56
2022-10-12,165,15,44,10,2,0,0,50
2022-10-13,155,14,42,10,3,0,0,48
2022-10-14,153,15,47,10,4,0,0,56
2022-10-15,168,16,48,10,5,1,0,57
2022-10-16,160,13,40,10,6,1,0,46
2022-10-17,165,18,54,10,0,0,0,63
2022-10-18,144,12,42,10,1,0,0,49
2022-10-19,155,15,45,10,2,0,0,53
2022-10-20,147,13,41,10,3,0,0,51
2022-10-21,156,15,44,10,4,0,0,47
2022-10-22,175,15,44,10,5,1,0,51
2022-10-23,176,17,52,10,6,1,0,62
2022-10-24,164,13,39,15,0,0,0,46
2022-10-25,157,13,39,10,1,0,0,45
2022-10-26,176,16,49,15,2,0,0,54
2022-10-27,174,18,57,10,3,0,0,68
2022-10-28,167,16,53,10,4,0,0,66
2022-10-29,186,17,56,10,5,1,0,63
2022-10-30,180,15,46,10,6,1,0,56
2022-10-31,168,15,50,10,0,0,0,58
2022-11-01,168,16,53,10,1,0,0,62
2022-11-02,163,14,42,10,2,0,0,47
2022-11-03,171,17,51,10,3,0,0,59
2022-11-04,164,15,46,10,4,0,0,57
2022-11-05,190,18,59,10,5,1,0,71
2022-11-06,182,16,49,10,6,1,0,61
2022-11-07,213,18,55,30,0,0,1,67
2022-11-08,221,20,64,30,1,0,1,76
2022-11-09,230,20,61,35,2,0,1,75
2022-11-10,218,20,61,30,3,0,1,73
2022-11-11,209,17,53,30,4,0,1,64
2022-11-12,233,20,62,30,5,1,1,72
2022-11-13,251,21,60,35,6,1,1,71
2022-11-14,205,15,44,30,0,0,1,50
2022-11-15,227,21,66,30,1,0,1,80
2022-11-16,171,16,46,10,2,0,0,52
2022-11-17,167,15,48,10,3,0,0,58
2022-11-18,167,14,43,10,4,0,0,50
2022-11-19,198,19,59,10,5,1,0,72
2022-11-20,192,17,53,10,6,1,0,64
2022-11-21,185,19,55,10,0,0,0,68
2022-11-22,172,16,48,10,1,0,0,58
2022-11-23,158,12,35,10,2,0,0,38
2022-11-24,174,17,53,10,3,0,0,62
2022-11-25,163,14,46,10,4,0,0,52
2022-11-26,188,16,49,10,5,1,0,57
2022-11-27,192,17,52,10,6,1,0,64
2022-11-28,167,15,42,10,0,0,0,51
2022-11-29,175,16,48,10,1,0,0,55
2022-11-30,178,17,52,10,2,0,0,59
2022-12-01,177,16,49,10,3,0,0,58
2022-12-02,173,14,44,10,4,0,0,49
2022-12-03,188,15,49,10,5,1,0,56
2022-12-04,192,16,49,10,6,1,0,58
2022-12-05,177,16,50,10,0,0,0,61
2022-12-06,179,17,49,10,1,0,0,59
2022-12-07,194,19,60,15,2,0,0,66
2022-12-08,164,13,40,10,3,0,0,48
2022-12-09,173,15,43,10,4,0,0,51
2022-12-10,196,17,53,10,5,1,0,63
2022-12-11,192,16,48,10,6,1,0,60
2022-12-12,181,16,51,10,0,0,0,56
2022-12-13,171,15,47,10,1,0,0,54
2022-12-14,171,15,46,10,2,0,0,55
2022-12-15,229,18,59,35,3,0,1,66
2022-12-16,227,20,61,30,4,0,1,75
2022-12-17,264,23,70,35,5,1,1,83
2022-12-18,270,25,77,35,6,1,1,92
2022-12-19,226,18,56,30,0,0,1,65
2022-12-20,221,17,51,30,1,0,1,62
2022-12-21,229,19,60,30,2,0,1,73
2022-12-22,225,18,56,30,3,0,1,66
2022-12-23,234,21,64,30,4,0,1,76
2022-12-24,246,20,59,30,5,1,1,70
2022-12-25,250,21,67,30,6,1,1,77
2022-12-26,220,17,55,30,0,0,1,64
2022-12-27,238,19,60,35,1,0,1,70
2022-12-28,179,16,51,10,2,0,0,61
2022-12-29,185,18,59,10,3,0,0,71
2022-12-30,165,14,44,10,4,0,0,50
2022-12-31,192,18,59,10,5,1,0,69
2023-01-01,170,13,40,10,6,1,0,50
2023-01-02,159,13,38,10,0,0,0,43
2023-01-03,160,14,43,10,1,0,0,49
2023-01-04,159,14,43,10,2,0,0,51
2023-01-05,156,16,50,5,3,0,0,61
2023-01-06,166,17,56,10,4,0,0,66
2023-01-07,170,14,44,10,5,1,0,54
2023-01-08,181,18,58,10,6,1,0,70
2023-01-09,160,13,44,15,0,0,0,53
2023-01-10,173,19,62,10,1,0,0,74
2023-01-11,166,16,50,10,2,0,0,63
2023-01-12,170,16,48,10,3,0,0,56
2023-01-13,166,15,51,10,4,0,0,56
2023-01-14,184,17,50,10,5,1,0,62
2023-01-15,185,17,49,10,6,1,0,57
2023-01-16,165,14,39,10,0,0,0,46
2023-01-17,173,17,55,10,1,0,0,67
2023-01-18,173,16,47,10,2,0,0,52
2023-01-19,176,17,52,10,3,0,0,59
2023-01-20,153,15,46,5,4,0,0,51
2023-01-21,190,19,61,10,5,1,0,70
2023-01-22,185,16,47,10,6,1,0,56
2023-01-23,196,23,71,10,0,0,0,85
2023-01-24,168,14,44,10,1,0,0,52
2023-01-25,172,15,49,10,2,0,0,55
2023-01-26,174,17,52,10,3,0,0,57
2023-01-27,172,18,56,10,4,0,0,66
2023-01-28,177,16,49,10,5,1,0,57
2023-01-29,169,14,45,10,6,1,0,54
2023-01-30,150,13,42,10,0,0,0,51
2023-01-31,148,13,39,10,1,0,0,46
2023-02-01,154,14,44,10,2,0,0,53
2023-02-02,161,15,43,10,3,0,0,51
2023-02-03,168,18,56,10,4,0,0,67
2023-02-04,186,20,60,10,5,1,0,69
2023-02-05,173,16,49,10,6,1,0,57
2023-02-06,162,17,55,10,0,0,0,65
2023-02-07,157,17,57,10,1,0,0,69
2023-02-08,169,18,56,10,2,0,0,65
2023-02-09,160,15,46,10,3,0,0,55
2023-02-10,158,14,43,10,4,0,0,50
2023-02-11,185,19,60,10,5,1,0,70
2023-02-12,193,21,65,10,6,1,0,78
2023-02-13,152,14,45,10,0,0,0,49
2023-02-14,171,19,62,10,1,0,0,70
2023-02-15,172,19,60,10,2,0,0,68
2023-02-16,159,15,46,10,3,0,0,49
2023-02-17,150,12,39,10,4,0,0,45
2023-02-18,177,16,48,10,5,1,0,58
2023-02-19,181,17,49,10,6,1,0,57
2023-02-20,161,17,55,10,0,0,0,65
2023-02-21,147,12,41,10,1,0,0,50
2023-02-22,174,20,65,10,2,0,0,79
2023-02-23,180,20,61,10,3,0,0,72
2023-02-24,151,14,37,5,4,0,0,46
2023-02-25,169,14,42,10,5,1,0,50
2023-02-26,183,17,54,10,6,1,0,62
2023-02-27,164,16,49,10,0,0,0,56
2023-02-28,168,18,58,10,1,0,0,65
2023-03-01,165,17,51,10,2,0,0,58
2023-03-02,162,15,47,10,3,0,0,55
2023-03-03,156,12,38,10,4,0,0,46
2023-03-04,193,19,59,10,5,1,0,73
2023-03-05,194,19,56,10,6,1,0,63
2023-03-06,167,15,46,10,0,0,0,55
2023-03-07,168,16,50,10,1,0,0,57
2023-03-08,167,16,49,10,2,0,0,59
2023-03-09,164,15,44,10,3,0,0,52
2023-03-10,157,13,39,10,4,0,0,42
2023-03-11,190,18,54,10,5,1,0,65
2023-03-12,176,15,47,10,6,1,0,54
2023-03-13,173,18,58,10,0,0,0,67
2023-03-14,161,14,44,10,1,0,0,50
2023-03-15,174,17,53,10,2,0,0,61
2023-03-16,163,14,43,10,3,0,0,51
2023-03-17,169,16,50,10,4,0,0,58
2023-03-18,186,17,49,10,5,1,0,58
2023-03-19,201,19,59,15,6,1,0,70
2023-03-20,159,14,45,10,0,0,0,56
2023-03-21,151,12,36,10,1,0,0,42
2023-03-22,160,15,48,10,2,0,0,54
2023-03-23,158,15,43,10,3,0,0,53
2023-03-24,150,13,40,10,4,0,0,46
2023-03-25,173,16,49,10,5,1,0,60
2023-03-26,155,14,44,5,6,1,0,53
2023-03-27,155,16,50,10,0,0,0,59
2023-03-28,154,15,51,10,1,0,0,61
2023-03-29,159,16,43,10,2,0,0,54
2023-03-30,176,21,62,10,3,0,0,77
2023-03-31,157,16,48,10,4,0,0,57
2023-04-01,180,18,56,10,5,1,0,66
2023-04-02,193,19,57,15,6,1,0,69
2023-04-03,146,15,45,5,0,0,0,51
2023-04-04,157,15,43,10,1,0,0,51
2023-04-05,164,17,50,10,2,0,0,59
2023-04-06,170,18,54,10,3,0,0,64
2023-04-07,141,10,34,10,4,0,0,38
2023-04-08,178,17,51,10,5,1,0,57
2023-04-09,178,17,58,10,6,1,0,64
2023-04-10,157,15,48,10,0,0,0,54
2023-04-11,169,18,55,10,1,0,0,64
2023-04-12,162,15,48,10,2,0,0,56
2023-04-13,172,17,55,10,3,0,0,69
2023-04-14,167,15,44,10,4,0,0,54
2023-04-15,187,17,49,10,5,1,0,56
2023-04-16,194,19,62,10,6,1,0,74
2023-04-17,162,14,41,10,0,0,0,47
2023-04-18,168,15,48,10,1,0,0,56
2023-04-19,164,14,45,10,2,0,0,53
2023-04-20,162,14,40,10,3,0,0,48
2023-04-21,170,17,54,10,4,0,0,63
2023-04-22,192,19,60,10,5,1,0,73
2023-04-23,177,15,49,10,6,1,0,55
2023-04-24,150,13,40,10,0,0,0,47
2023-04-25,179,21,66,10,1,0,0,83
2023-04-26,156,14,44,10,2,0,0,52
2023-04-27,159,14,43,10,3,0,0,53
2023-04-28,171,17,56,10,4,0,0,66
2023-04-29,183,16,51,10,5,1,0,61
2023-04-30,239,21,68,30,6,1,1,80
2023-05-01,229,22,69,30,0,0,1,81
2023-05-02,227,22,70,30,1,0,1,81
2023-05-03,211,19,57,30,2,0,1,68
2023-05-04,217,22,67,30,3,0,1,77
2023-05-05,212,20,64,30,4,0,1,77
2023-05-06,232,21,64,30,5,1,1,77
2023-05-07,245,22,67,35,6,1,1,80
2023-05-08,219,19,59,35,0,0,1,69
2023-05-09,219,21,62,30,1,0,1,74
2023-05-10,215,20,62,30,2,0,1,72
2023-05-11,157,14,44,10,3,0,0,54
2023-05-12,164,16,49,10,4,0,0,54
2023-05-13,178,17,50,10,5,1,0,58
2023-05-14,176,17,56,10,6,1,0,62
2023-05-15,161,16,50,10,0,0,0,56
2023-05-16,172,18,54,10,1,0,0,66
2023-05-17,160,16,48,5,2,0,0,58
2023-05-18,176,18,52,10,3,0,0,60
2023-05-19,180,19,55,10,4,0,0,62
2023-05-20,191,18,52,10,5,1,0,55
2023-05-21,188,17,51,10,6,1,0,59
2023-05-22,164,14,44,10,0,0,0,57
2023-05-23,173,16,51,10,1,0,0,61
2023-05-24,177,18,55,10,2,0,0,64
2023-05-25,185,19,61,10,3,0,0,73
2023-05-26,164,13,41,10,4,0,0,45
2023-05-27,190,20,60,5,5,1,0,70
2023-05-28,205,20,60,10,6,1,0,71
2023-05-29,182,21,66,5,0,0,0,77
2023-05-30,174,16,51,10,1,0,0,62
2023-05-31,172,16,52,10,2,0,0,62
2023-06-01,165,13,37,10,3,0,0,45
2023-06-02,162,14,39,10,4,0,0,45
2023-06-03,183,16,54,10,5,1,0,65
2023-06-04,180,16,49,10,6,1,0,61
2023-06-05,163,14,45,10,0,0,0,51
2023-06-06,174,13,40,15,1,0,0,45
2023-06-07,177,16,47,10,2,0,0,58
2023-06-08,178,17,55,10,3,0,0,64
2023-06-09,180,17,54,10,4,0,0,66
2023-06-10,203,18,59,10,5,1,0,69
2023-06-11,210,20,63,10,6,1,0,77
2023-06-12,187,18,54,10,0,0,0,64
2023-06-13,173,13,40,10,1,0,0,48
2023-06-14,176,15,48,10,2,0,0,60
2023-06-15,168,13,39,10,3,0,0,45
2023-06-16,171,14,44,10,4,0,0,50
2023-06-17,199,18,58,10,5,1,0,67
2023-06-18,201,18,53,10,6,1,0,63
2023-06-19,190,19,58,10,0,0,0,65
2023-06-20,190,20,62,10,1,0,0,74
2023-06-21,176,17,55,10,2,0,0,64
2023-06-22,172,16,49,10,3,0,0,60
2023-06-23,173,16,48,10,4,0,0,52
2023-06-24,196,18,57,10,5,1,0,65
2023-06-25,201,19,58,10,6,1,0,65
2023-06-26,170,15,47,10,0,0,0,54
2023-06-27,178,17,53,10,1,0,0,63
2023-06-28,173,16,49,10,2,0,0,57
2023-06-29,173,18,57,5,3,0,0,67
2023-06-30,185,19,61,10,4,0,0,71
2023-07-01,208,22,66,10,5,1,0,78
2023-07-02,193,18,57,10,6,1,0,65
2023-07-03,164,13,40,10,0,0,0,48
2023-07-04,164,13,40,10,1,0,0,48
2023-07-05,177,15,47,10,2,0,0,56
2023-07-06,173,13,43,10,3,0,0,52
2023-07-07,169,13,40,10,4,0,0,48
2023-07-08,196,17,52,10,5,1,0,65
2023-07-09,195,16,47,10,6,1,0,55
2023-07-10,186,17,52,10,0,0,0,61
2023-07-11,197,20,62,10,1,0,0,71
2023-07-12,174,16,48,5,2,0,0,54
2023-07-13,182,17,52,10,3,0,0,59
2023-07-14,165,13,41,10,4,0,0,46
2023-07-15,198,18,59,10,5,1,0,69
2023-07-16,192,17,52,10,6,1,0,62
2023-07-17,168,14,47,10,0,0,0,55
2023-07-18,163,12,39,10,1,0,0,44
2023-07-19,191,19,61,15,2,0,0,74
2023-07-20,157,13,41,10,3,0,0,50
2023-07-21,162,14,44,10,4,0,0,51
2023-07-22,188,18,55,10,5,1,0,63
2023-07-23,191,19,59,10,6,1,0,71
2023-07-24,173,17,53,10,0,0,0,63
2023-07-25,169,16,50,10,1,0,0,56
2023-07-26,162,14,47,10,2,0,0,55
2023-07-27,177,18,60,10,3,0,0,71
2023-07-28,169,17,54,10,4,0,0,62
2023-07-29,181,15,49,10,5,1,0,58
2023-07-30,202,21,64,10,6,1,0,72
2023-07-31,170,16,46,10,0,0,0,57
2023-08-01,179,18,56,10,1,0,0,68
2023-08-02,160,13,41,10,2,0,0,48
2023-08-03,162,14,46,10,3,0,0,55
2023-08-04,162,15,51,10,4,0,0,55
2023-08-05,183,17,53,10,5,1,0,60
2023-08-06,201,20,65,15,6,1,0,76
2023-08-07,155,13,43,10,0,0,0,48
2023-08-08,167,17,53,10,1,0,0,64
2023-08-09,158,14,45,10,2,0,0,57
2023-08-10,169,17,54,10,3,0,0,61
2023-08-11,171,17,56,10,4,0,0,64
2023-08-12,186,17,51,10,5,1,0,60
2023-08-13,206,23,67,10,6,1,0,82
2023-08-14,167,16,50,10,0,0,0,56
2023-08-15,169,18,58,10,1,0,0,69
2023-08-16,157,14,46,10,2,0,0,58
2023-08-17,161,16,49,10,3,0,0,54
2023-08-18,162,16,51,10,4,0,0,57
2023-08-19,186,19,58,10,5,1,0,67
2023-08-20,183,18,57,10,6,1,0,66
2023-08-21,160,15,45,10,0,0,0,55
2023-08-22,154,10,29,15,1,0,0,35
2023-08-23,159,15,49,10,2,0,0,54
2023-08-24,160,15,44,10,3,0,0,53
2023-08-25,167,16,47,10,4,0,0,54
2023-08-26,187,20,64,5,5,1,0,78
